"AS","ASC","NRC"
"neutral",1,0.638298279794716
"positive",0.3486,0
"neutral",0.6837,0.638298279794716
"negative",1,0.7033
"negative",1,1
"negative",1,0.6842
"positive",0.6745,0
"neutral",0.634,0.638298279794716
"positive",0.6559,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6769,0
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6451,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6842,0.3684
"positive",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6705,0.3614
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.3557
"negative",1,1
"negative",1,0.6614
"neutral",0.6854,0.638298279794716
"negative",1,1
"neutral",0.615,0
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"neutral",0.6207,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6791,0
"negative",1,1
"positive",0.6639,0.638298279794716
"negative",0.6688,0.6688
"neutral",1,0.638298279794716
"neutral",0.6578,0
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6799,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6436,0.638298279794716
"neutral",0.6764,0
"positive",0.657,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.7118,0
"neutral",1,0.638298279794716
"negative",0.6939,0.6939
"positive",1,0.638298279794716
"positive",0.635,0.638298279794716
"neutral",0.7007,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"neutral",0.6858,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6814,0
"negative",1,1
"negative",1,0.6789
"positive",0.6922,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"neutral",0.6492,0
"neutral",1,0.638298279794716
"negative",1,0.3516
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6792,0.3477
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",0.6705,0
"neutral",1,0.638298279794716
"neutral",0.6545,0
"negative",1,0.6513
"neutral",1,0.638298279794716
"neutral",0.6639,0
"negative",1,1
"negative",1,1
"neutral",0.6765,0
"negative",1,0.6863
"negative",1,0.6771
"negative",1,0.659
"negative",1,0.6714
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6882
"neutral",1,0.638298279794716
"negative",0.6925,0.3521
"negative",1,0.3486
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6366
"neutral",0.6593,0
"positive",0.6823,0
"neutral",1,0.638298279794716
"positive",0.6806,0.638298279794716
"neutral",0.6529,0.638298279794716
"positive",0.678,0.638298279794716
"positive",0.3482,0
"negative",1,1
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6832,0.3773
"negative",1,0.6767
"negative",1,0.6527
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6703,0.6703
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6535,0
"negative",1,0.6448
"negative",1,1
"neutral",1,0.638298279794716
"negative",1,0.6875
"negative",1,1
"negative",1,1
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.7011,0.638298279794716
"negative",1,1
"negative",0.6543,0.3562
"positive",1,0.638298279794716
"neutral",0.355,0
"negative",0.6889,0.6889
"positive",1,0.638298279794716
"negative",1,1
"negative",0.679,0.3684
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6501
"negative",1,1
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6732,0
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6983
"negative",0.6593,0.6593
"negative",1,0.6556
"negative",1,0.3571
"negative",1,1
"negative",1,1
"negative",0.6517,0.3371
"negative",0.68,0.35
"negative",1,0.7002
"neutral",1,0.638298279794716
"negative",1,1
"negative",1,0.6818
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.663
"negative",1,0.6777
"neutral",0.6816,0
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.3709
"neutral",0.6701,0
"neutral",0.6942,0
"negative",1,0.7148
"negative",0.6791,0.6791
"positive",0.3579,0
"positive",1,0.638298279794716
"neutral",0.653,0.638298279794716
"negative",1,0.648
"negative",1,0.6729
"neutral",0.6743,0
"positive",0.6783,0.638298279794716
"neutral",0.6863,0.638298279794716
"negative",1,0.6705
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6648
"negative",1,1
"negative",1,1
"negative",0.7158,0.7158
"negative",1,1
"positive",1,0.638298279794716
"negative",1,0.6733
"positive",1,0.638298279794716
"neutral",0.6809,0
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6775,0
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.7053,0.7053
"negative",1,1
"negative",0.642,0.642
"positive",0.6667,0
"negative",1,0.6735
"negative",1,0.6968
"neutral",0.634,0
"negative",0.699,0.699
"negative",0.664,0.3412
"negative",1,0.6452
"negative",1,0.6766
"negative",1,0.6954
"negative",1,1
"positive",0.6522,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6526
"neutral",1,0.638298279794716
"negative",1,1
"positive",0.7081,0.638298279794716
"negative",0.6455,0.3497
"positive",1,0.638298279794716
"positive",0.6899,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6701,0.3505
"positive",0.6575,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6701,0.638298279794716
"negative",0.6489,0.6489
"negative",0.6786,0.6786
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"negative",0.6473,0.3341
"positive",0.6771,0.638298279794716
"negative",0.6636,0.6636
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6706,0.3514
"negative",1,0.6809
"negative",1,1
"positive",1,0.638298279794716
"neutral",0.6598,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6701,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6765
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6965,0.3634
"negative",1,0.6633
"positive",1,0.638298279794716
"negative",0.6368,0.6368
"negative",1,0.6525
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",0.6855,0.638298279794716
"neutral",0.6803,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6761
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6776,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"negative",0.6569,0.6569
"neutral",0.6773,0
"neutral",0.642,0
"neutral",1,0.638298279794716
"neutral",0.6791,0
"negative",1,0.6421
"negative",1,0.6458
"negative",1,0.6979
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.3895
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6655
"neutral",0.6625,0
"neutral",1,0.638298279794716
"negative",1,1
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",0.662,0.662
"positive",1,0.638298279794716
"positive",0.6884,0.638298279794716
"positive",0.6658,0.638298279794716
"neutral",0.375,0
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"neutral",0.6529,0.638298279794716
"negative",1,0.6667
"negative",1,0.6237
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,0.6596
"negative",1,0.6841
"neutral",0.6667,0.638298279794716
"positive",0.6809,0.638298279794716
"positive",1,0.638298279794716
"neutral",0.6354,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6742,0
"neutral",0.6745,0.638298279794716
"negative",1,1
"neutral",0.6461,0.638298279794716
"positive",0.6482,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,0.6406
"negative",0.6381,0.3279
"neutral",0.6703,0.638298279794716
"neutral",0.6559,0.638298279794716
"negative",1,0.6543
"neutral",0.6673,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",0.6875,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6539,0.3461
"negative",0.6558,0.6558
"negative",0.6596,0.3617
"positive",1,0.638298279794716
"negative",0.6436,0.324
"negative",0.3617,0.3617
"negative",1,0.6723
"negative",0.7223,0.7223
"neutral",0.6925,0.638298279794716
"negative",1,0.6581
"negative",1,0.6725
"negative",0.654,0.3438
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6624,0
"positive",1,0.638298279794716
"positive",0.6548,0.638298279794716
"neutral",0.6696,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6756,0.6756
"negative",1,0.6899
"negative",1,1
"positive",0.6888,0.638298279794716
"negative",1,1
"negative",1,1
"negative",1,1
"neutral",0.6837,0.638298279794716
"positive",0.6667,0.638298279794716
"positive",0.6395,0.638298279794716
"negative",1,1
"neutral",0.6774,0
"positive",0.6618,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",1,1
"positive",1,0.638298279794716
"positive",0.6871,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.6811,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.7026,0
"positive",0.6724,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"negative",0.6801,0.6801
"positive",1,0.638298279794716
"negative",0.6307,0.6307
"positive",1,0.638298279794716
"negative",1,1
"negative",1,1
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",0.3483,0
"positive",1,0.638298279794716
"neutral",0.639,0.638298279794716
"positive",1,0.638298279794716
"negative",0.6727,0.6727
"negative",1,1
"negative",0.6702,0.6702
"neutral",0.6769,0
"negative",0.6876,0.6876
"positive",1,0.638298279794716
"neutral",1,0.638298279794716
"neutral",1,0.638298279794716
"positive",1,0.638298279794716
"positive",1,0.638298279794716
"negative",1,1
"negative",1,0.6989
"negative",0.6901,0.3802
"neutral",0.6646,0.638298279794716
