"kmeans1","kmeans2"
1,NA
0.3486,0
0.6837,NA
1,0.7033
1,1
1,0.6842
0.6745,0
0.634,NA
0.6559,NA
1,NA
0.6769,0
1,NA
1,NA
0.6451,NA
1,NA
0.6842,0.3684
1,NA
1,1
1,NA
1,NA
0.6705,0.3614
1,NA
1,NA
1,NA
1,0.3557
1,1
1,0.6614
0.6854,NA
1,1
0.615,0
1,1
1,NA
1,1
1,1
1,NA
0.6207,NA
1,NA
1,NA
0.6791,0
1,1
0.6639,NA
0.6688,0.6688
1,NA
0.6578,0
1,NA
1,NA
0.6799,NA
1,NA
1,NA
0.6436,NA
0.6764,0
0.657,NA
1,NA
0.7118,0
1,NA
0.6939,0.6939
1,NA
0.635,NA
0.7007,NA
1,NA
1,NA
1,1
0.6858,NA
1,NA
1,NA
0.6814,0
1,1
1,0.6789
0.6922,NA
1,1
1,NA
0.6492,0
1,NA
1,0.3516
1,NA
1,NA
1,NA
1,NA
1,1
1,NA
1,1
1,NA
0.6792,0.3477
1,1
1,1
1,1
0.6705,0
1,NA
0.6545,0
1,0.6513
1,NA
0.6639,0
1,1
1,1
0.6765,0
1,0.6863
1,0.6771
1,0.659
1,0.6714
1,1
1,NA
1,0.6882
1,NA
0.6925,0.3521
1,0.3486
1,NA
1,1
1,0.6366
0.6593,0
0.6823,0
1,NA
0.6806,NA
0.6529,NA
0.678,NA
0.3482,0
1,1
1,NA
1,NA
1,NA
1,NA
0.6832,0.3773
1,0.6767
1,0.6527
1,NA
1,NA
1,NA
0.6703,0.6703
1,NA
1,NA
0.6535,0
1,0.6448
1,1
1,NA
1,0.6875
1,1
1,1
1,NA
1,NA
0.7011,NA
1,1
0.6543,0.3562
1,NA
0.355,0
0.6889,0.6889
1,NA
1,1
0.679,0.3684
1,NA
1,NA
1,0.6501
1,1
1,NA
1,NA
1,NA
0.6732,0
1,NA
1,NA
1,0.6983
0.6593,0.6593
1,0.6556
1,0.3571
1,1
1,1
0.6517,0.3371
0.68,0.35
1,0.7002
1,NA
1,1
1,0.6818
1,NA
1,NA
1,NA
1,NA
1,0.663
1,0.6777
0.6816,0
1,NA
1,1
1,0.3709
0.6701,0
0.6942,0
1,0.7148
0.6791,0.6791
0.3579,0
1,NA
0.653,NA
1,0.648
1,0.6729
0.6743,0
0.6783,NA
0.6863,NA
1,0.6705
1,1
1,NA
1,0.6648
1,1
1,1
0.7158,0.7158
1,1
1,NA
1,0.6733
1,NA
0.6809,0
1,NA
1,NA
1,NA
0.6775,0
1,NA
1,NA
0.7053,0.7053
1,1
0.642,0.642
0.6667,0
1,0.6735
1,0.6968
0.634,0
0.699,0.699
0.664,0.3412
1,0.6452
1,0.6766
1,0.6954
1,1
0.6522,NA
1,NA
1,0.6526
1,NA
1,1
0.7081,NA
0.6455,0.3497
1,NA
0.6899,NA
1,NA
0.6701,0.3505
0.6575,NA
1,NA
0.6701,NA
0.6489,0.6489
0.6786,0.6786
1,NA
1,NA
1,NA
1,NA
1,1
0.6473,0.3341
0.6771,NA
0.6636,0.6636
1,NA
1,NA
1,NA
0.6706,0.3514
1,0.6809
1,1
1,NA
0.6598,NA
1,NA
1,NA
1,NA
0.6701,NA
1,NA
1,0.6765
1,NA
1,NA
0.6965,0.3634
1,0.6633
1,NA
0.6368,0.6368
1,0.6525
1,NA
1,NA
0.6855,NA
0.6803,NA
1,NA
1,NA
1,NA
1,0.6761
1,NA
1,NA
0.6776,NA
1,NA
1,NA
1,1
1,NA
0.6569,0.6569
0.6773,0
0.642,0
1,NA
0.6791,0
1,0.6421
1,0.6458
1,0.6979
1,NA
1,NA
1,0.3895
1,NA
1,NA
1,NA
1,NA
1,NA
1,0.6655
0.6625,0
1,NA
1,1
1,NA
1,NA
1,1
0.662,0.662
1,NA
0.6884,NA
0.6658,NA
0.375,0
1,NA
1,NA
1,NA
1,NA
1,1
0.6529,NA
1,0.6667
1,0.6237
1,NA
1,NA
1,0.6596
1,0.6841
0.6667,NA
0.6809,NA
1,NA
0.6354,NA
1,NA
0.6742,0
0.6745,NA
1,1
0.6461,NA
0.6482,NA
1,NA
1,NA
1,0.6406
0.6381,0.3279
0.6703,NA
0.6559,NA
1,0.6543
0.6673,NA
1,NA
1,NA
0.6875,NA
1,NA
0.6539,0.3461
0.6558,0.6558
0.6596,0.3617
1,NA
0.6436,0.324
0.3617,0.3617
1,0.6723
0.7223,0.7223
0.6925,NA
1,0.6581
1,0.6725
0.654,0.3438
1,NA
1,NA
1,NA
1,NA
1,NA
0.6624,0
1,NA
0.6548,NA
0.6696,NA
1,NA
0.6756,0.6756
1,0.6899
1,1
0.6888,NA
1,1
1,1
1,1
0.6837,NA
0.6667,NA
0.6395,NA
1,1
0.6774,0
0.6618,NA
1,NA
1,NA
1,NA
1,NA
1,1
1,NA
0.6871,NA
1,NA
0.6811,NA
1,NA
1,NA
0.7026,0
0.6724,NA
1,NA
1,NA
0.6801,0.6801
1,NA
0.6307,0.6307
1,NA
1,1
1,1
1,NA
1,NA
1,NA
0.3483,0
1,NA
0.639,NA
1,NA
0.6727,0.6727
1,1
0.6702,0.6702
0.6769,0
0.6876,0.6876
1,NA
1,NA
1,NA
1,NA
1,NA
1,1
1,0.6989
0.6901,0.3802
0.6646,NA
1,NA
1,NA
0.663,NA
0.6895,NA
0.6651,0.3413
0.6559,0
1,NA
1,NA
0.6655,NA
0.6522,NA
1,NA
0.6632,NA
1,0.3556
1,0.6326
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
0.6477,0
0.6202,0
1,NA
1,1
1,NA
1,0.3373
1,0.3434
1,0.6773
0.6703,0.6703
1,0.6977
0.6431,NA
1,NA
